iter	Passed	Remaining
0	0	74
1	1	70
2	1	63
3	2	57
4	3	59
5	3	57
6	4	55
7	4	55
8	5	55
9	6	54
10	6	54
11	7	53
12	7	53
13	8	52
14	9	51
15	9	50
16	10	50
17	10	49
18	11	48
19	11	47
20	12	47
21	13	46
22	13	45
23	14	45
24	14	44
25	15	43
26	15	42
27	16	41
28	16	41
29	17	40
30	17	39
31	18	39
32	18	38
33	19	38
34	20	37
35	20	37
36	21	36
37	21	35
38	22	35
39	23	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	20
63	36	20
64	36	19
65	37	19
66	37	18
67	38	17
68	38	17
69	39	16
70	40	16
71	41	15
72	41	15
73	42	14
74	43	14
75	43	13
76	44	13
77	44	12
78	45	11
79	45	11
80	46	10
81	47	10
82	48	9
83	48	9
84	49	8
85	49	8
86	49	7
87	50	6
88	50	6
89	51	5
90	51	5
91	52	4
92	53	3
93	54	3
94	54	2
95	55	2
96	55	1
97	56	1
98	56	0
99	57	0
